DATE,HOR_M,HOR_F,NOR_M,NOR_F
01/01/16,51,60,0,0
01/02/16,52,51,0,0
01/03/16,0,0,0,0
01/04/16,14,11,0,0
01/05/16,9,12,0,0
01/06/16,0,0,0,0
01/07/16,23,31,0,0
01/08/16,17,13,0,0
01/09/16,19,14,0,0
01/10/16,16,13,0,0
01/11/16,18,10,0,0
01/12/16,3,0,0,0
01/13/16,2,6,0,0
01/14/16,10,13,0,0
01/15/16,25,27,0,0
01/16/16,0,0,0,0
01/17/16,0,0,0,0
01/18/16,0,0,0,0
01/19/16,0,0,0,0
01/20/16,0,0,0,0
01/21/16,0,0,0,0
01/22/16,0,0,0,0
01/23/16,0,0,0,0
01/24/16,0,0,0,0
01/25/16,95,90,0,0
01/26/16,2,3,0,0
01/27/16,3,4,0,0
01/28/16,4,4,0,0
01/29/16,3,5,0,0
01/30/16,3,9,0,0
01/31/16,3,2,0,0
02/01/16,2,3,0,0
02/02/16,3,1,0,0
02/03/16,4,2,0,0
02/04/16,3,3,0,0
02/05/16,1,3,0,0
02/06/16,3,5,0,0
02/07/16,2,3,1,0
02/08/16,4,6,0,0
02/09/16,2,3,0,0
02/10/16,0,4,0,0
02/11/16,7,4,0,0
02/12/16,5,4,0,0
02/13/16,2,3,0,0
02/14/16,3,3,0,0
02/15/16,0,1,0,0
02/16/16,1,2,0,0
02/17/16,3,1,0,0
02/18/16,2,2,0,0
02/19/16,6,4,1,0
02/20/16,4,1,0,0
02/21/16,7,7,0,0
02/22/16,7,1,0,0
02/23/16,7,5,0,0
02/24/16,3,4,0,0
02/25/16,6,2,0,0
02/26/16,4,6,0,1
02/27/16,3,0,0,0
02/28/16,6,2,0,0
02/29/16,3,2,1,0
03/01/16,3,1,0,0
03/02/16,4,3,0,0
03/03/16,4,6,0,0
03/04/16,2,0,0,0
03/05/16,9,7,0,0
03/06/16,10,4,0,0
03/07/16,5,2,0,0
03/08/16,9,6,0,1
03/09/16,5,4,0,0
03/10/16,0,0,0,0
03/11/16,0,0,0,0
03/12/16,0,0,0,0
03/13/16,0,0,0,0
03/14/16,6,8,0,0
03/15/16,0,6,0,0
03/16/16,6,9,0,0
03/17/16,5,7,0,0
03/18/16,8,4,1,0
03/19/16,10,18,0,0
03/20/16,14,8,0,0
03/21/16,8,10,0,0
03/22/16,5,5,0,0
03/23/16,6,5,1,0
03/24/16,2,4,0,0
03/25/16,5,6,0,1
03/26/16,5,10,0,0
03/27/16,1,11,0,0
03/28/16,5,5,0,0
03/29/16,10,10,0,0
03/30/16,5,13,0,0
03/31/16,12,6,0,0
04/01/16,3,10,0,1
04/02/16,11,9,0,0
04/03/16,15,18,0,0
04/04/16,15,16,0,0
04/05/16,16,17,0,1
04/06/16,10,8,0,1
04/07/16,9,14,1,1
04/08/16,4,16,0,0
04/09/16,4,4,1,1
04/10/16,6,5,1,0
04/11/16,7,5,1,1
04/12/16,4,6,0,1
04/13/16,3,12,0,0
04/14/16,9,5,1,0
04/15/16,3,2,0,1
04/16/16,2,5,0,0
04/17/16,7,5,0,0
04/18/16,12,3,0,0
04/19/16,8,5,0,0
04/20/16,0,1,0,0
04/21/16,5,7,0,0
04/22/16,9,9,1,0
04/23/16,1,2,0,1
04/24/16,6,4,1,0
04/25/16,3,2,0,1
04/26/16,6,2,1,0
04/27/16,3,1,0,0
04/28/16,2,6,1,1
04/29/16,5,3,0,1
04/30/16,4,2,1,0
05/01/16,1,2,0,0
05/02/16,2,8,2,1
05/03/16,2,3,0,0
05/04/16,2,3,0,0
05/05/16,3,2,1,0
05/06/16,1,4,0,0
05/07/16,2,5,2,2
05/08/16,1,4,0,0
05/09/16,1,4,1,0
05/10/16,1,4,0,1
05/11/16,3,2,0,0
05/12/16,1,0,0,0
05/13/16,0,0,0,1
05/14/16,3,1,0,0
05/15/16,0,5,0,1
05/16/16,1,1,0,0
05/17/16,2,1,0,0
05/18/16,0,0,0,0
05/19/16,0,1,0,0
05/20/16,1,1,1,0
05/21/16,0,0,0,0
05/22/16,0,0,0,0
05/23/16,0,0,0,0
05/24/16,0,1,0,0
05/25/16,0,0,0,0
05/26/16,0,0,0,0
05/27/16,0,1,1,0
05/28/16,1,0,0,0
05/29/16,0,0,0,0
05/30/16,1,0,0,0
05/31/16,0,0,0,0
06/01/16,0,0,0,0
06/02/16,0,0,0,0
06/03/16,1,0,0,0
06/04/16,0,0,0,0
06/05/16,0,0,0,0
06/06/16,0,1,0,0
06/07/16,0,0,0,0
06/08/16,0,0,0,0
06/09/16,0,0,1,0
06/10/16,0,0,0,1
06/11/16,0,0,0,0
06/12/16,0,0,0,0
06/13/16,0,0,0,1
06/14/16,0,0,0,0
06/15/16,0,0,1,0
06/16/16,0,0,0,0
06/17/16,0,0,0,0
06/18/16,0,0,0,0
06/19/16,0,0,0,0
06/20/16,0,0,0,0
06/21/16,0,0,0,0
06/22/16,0,0,0,0
06/23/16,0,0,0,0
06/24/16,0,0,0,0
06/25/16,0,0,0,0
06/26/16,0,0,0,0
06/27/16,0,0,1,0
