DATE,CAPTURE_TYPE,CAPTURE_LOCATION,LIFE_STAGE,MARKS,GENDER,FL,PIT_CODE
03/29/16,TN,HAPPA,A,NOR,F,805,3DD003BE8CB11
03/29/16,TN,KYSER,A,NOR,M,782,3DD003BE8CAF6
04/05/16,TN,HAGGIES,A,BWT,M,900,3DD003BE8CAFA
04/05/16,TN,HAGGIES,A,NOR,M,690,3DD003BE8CB1E
4/12/2016,TN,HAGGIES,A,AD,F,830,3DD003BE8CAE2
4/12/2016,TN,HAGGIES,A,BWT,F,770,3DD003BE8CB15
4/12/2016,TN,HAGGIES,A,BWT,M,620,3DD003BE8CB14
4/12/2016,TN,ERIKS,R,NOR,M,490,3DD003BE8CB09
4/19/2016,TN,HAGGIES,A,NOR,F,,3DD003BE8D6BB
4/19/2016,TN,2/3 BREAK,A,AD,F,830,3DD003BE8CAE2
4/19/2016,TN,ERIKS,A,NOR,M,575,3DD003BE8CAC5
4/19/2016,TN,ERIKS,A,NOR,M,560,3DD003BE8CAD2
