DATE,BROOD_YEAR,LOCATION,LIFE,MARKS,STUB_DORSAL,MATURITY,GENDER,LENGTH,RETENTION,TANGLE_NET_RECAPTURE,RECAPTURE_OTHER,PIT_ID,FLOY_ID
03/08/16,2016,HAGGIES,A,BWT,Y,G,M,808,MARK RELEASE,N,,3DD003BE8CAE3,
03/08/16,2016,2/3 BREAK,A,BWT,Y,G,F,625,MARK RELEASE,N,,3DD003BE8CAF7,
03/08/16,2016,DECK RUN,A,BWT,Y,G,F,600,MARK RELEASE,N,,3DD003BE8CAF2,
03/08/16,2016,24K,A,AD,Y,G,F,770,EUTHANIZED,N,,,
03/08/16,2016,HAGGIES,A,N,N,G,F,717,BROOD,N,,3DD003BE8CAD0,PK 76
03/15/16,2016,DECK RUN,A,BWT,Y,R,M,620,MARK RELEASE,N,MT,3DD003BE8CB17,
03/15/16,2016,DECK RUN,A,BWT,Y,R,M,644,MARK RELEASE,N,,3DD003BE8CB01,
03/15/16,2016,HAGGIES,A,N,N,R,M,900,BROOD,N,,3DD003BE8CAF8,YELLOW 75
03/15/16,2016,DECK RUN,A,N,Y,R,F,790,MARK RELEASE,N,MT,3DD003BE8CB21,
03/23/16,2016,HAGGIES,A,BWT,Y,G,F,,RELEASE,N,,3DD003BE8D69C,
03/23/16,2016,HAGGIES,A,BWT,Y,R,M,610,RELEASE,Y,,770E4EC,
03/23/16,2016,HAGGIES,A,BWT,Y,G,F,610,MARK RELEASE,N,,3DD003BE8CAF4,
03/23/16,2016,2/3 BREAK,A,BWT,Y,G,M,630,MARK RELEASE,N,,3DD003BE8CB06,
03/23/16,2016,DECK RUN,A,BWT,Y,G,F,782,MARK RELEASE,N,MT,3DD003BE8CAC6,
03/23/16,2016,HAGGIES,A,N,N,R,M,870,BROOD,N,,3DD003BE8CB0B,ORANGE 25
03/23/16,2016,HAGGIES,A,N,N,R,M,945,MORTALITY,N,,,ORANGE 24
03/23/16,2016,DECK RUN,R,N,N,R,M,440,MARK RELEASE,N,,3DD003BE8CAD9,
03/29/16,2016,HAGGIES,A,BWT,Y,R,M,625,MARK RELEASE,N,,3DD003BE8CB0F,
03/29/16,2016,24K,A,BWT,Y,R,F,820,RELEASE,N,MT,3DD003BE8D67C,
03/29/16,2016,2/3 BREAK,R,N,N,R,M,460,MARK RELEASE,N,,3DD003BE8CAFE,
03/29/16,2016,2/3 BREAK,S,N,N,,,305,MARK RELEASE,N,,3DD003BE8CB1A,
03/29/16,2016,24K,A,N,N,R,F,710,BROOD,N,,3DD003BE8CB0D,ORANGE 23
03/29/16,2016,HAPPA,A,N,N,K,F,805,MARK RELEASE,N,,3DD003BE8CB11,
03/29/16,2016,KYSER,A,N,N,K,M,782,MARK RELEASE,N,,3DD003BE8CAF6,
04/05/16,2016,HAGGIES,R,N,Y,R,M,510,RELEASE,N,MT,569A080,
04/05/16,2016,HAGGIES,A,BWT,Y,K,M,900,MARK RELEASE,N,,3DD003BE8CAFA,
04/05/16,2016,HAGGIES,A,N,N,R,M,790,BROOD,N,,3DD003BE8CACC,PK 51
04/05/16,2016,HAGGIES,A,N,N,R,M,735,BROOD,N,,3DD003BE8CAD6,PK52
04/05/16,2016,HAGGIES,R,N,Y,R,M,550,MARK RELEASE,N,,3DD003BE8CACA,
04/05/16,2016,2/3 BREAK,A,N,N,R,M,870,MARK RELEASE,N,,3DD003BE8CAEB,
04/05/16,2016,KYSER,A,N,N,R,F,785,BROOD,N,,3DD003BE8CAFC,YL 74
04/05/16,2016,HAGGIES,A,N,N,K,M,690,MARK RELEASE,N,,3DD003BE8CB1E,
4/12/2016,2016,HAGGIES,A,AD,N,K,F,830,MARK RELEASE,N,,3DD003BE8CAE2,PK 2
4/12/2016,2016,HAGGIES,A,BWT,Y,K,F,770,MARK RELEASE,N,,3DD003BE8CB15,
4/12/2016,2016,HAGGIES,A,BWT,Y,K,M,620,MARK RELEASE,N,,3DD003BE8CB14,
4/12/2016,2016,HAGGIES,A,N,N,R,F,840,BROOD,N,,3DD003BE8CB02,OR 26
4/12/2016,2016,HAGGIES,A,N,N,R,M,825,BROOD,N,,3DD003BE8CAF1,PK 1
4/12/2016,2016,2/3 BREAK,A,N,N,R,M,795,BROOD,N,,3DD003BE8CB1F,Y 100
4/12/2016,2016,2/3 BREAK,A,N,N,R,F,855,BROOD,N,,3DD003BE8CB23,Y99
4/12/2016,2016,ERIKS,R,N,N,K,M,490,MARK RELEASE,N,,3DD003BE8CB09,
4/12/2016,2016,HAGGIES,A,N,N,R,M,692,BROOD,N,,3DD003BE8CB12,Y 98
4/12/2016,2016,HAGGIES,A,N,N,R,M,930,BROOD,N,,3DD003BE8CAC7,PK 25
4/19/2016,2016,HAGGIES,A,N,N,K,F,,RELEASE,N,,3DD003BE8D6BB,
4/19/2016,2016,HAGGIES,A,N,N,R,M,610,RELEASE,Y,,770E4EC,
4/19/2016,2016,HAGGIES,A,BWT,Y,R,M,670,MARK RELEASE,N,,3DD003BE8CB07,
4/19/2016,2016,2/3 BREAK,A,AD,N,K,F,830,RELEASE,Y,,3DD003BE8CAE2,
4/19/2016,2016,2/3 BREAK,R,N,Y,R,M,470,RELEASE,Y,,5550E92,
4/19/2016,2016,HAGGIES,A,N,N,R,F,815,BROOD,N,,3DD003BE8CAE8,Y 76
4/19/2016,2016,HAGGIES,A,N,N,R,M,675,BROOD,N,,3DD003BE8CACF,PK 24
4/19/2016,2016,HAGGIES,A,N,N,R,M,895,BROOD,N,,3DD003BE8CAE4,Y 77
4/19/2016,2016,HAGGIES,R,N,N,R,M,440,MARK RELEASE,N,,3DD003BE8CB1B,
4/19/2016,2016,ERIKS,A,N,N,K,M,575,MARK RELEASE,N,,3DD003BE8CAC5,
4/19/2016,2016,ERIKS,A,N,N,K,M,560,MARK RELEASE,N,,3DD003BE8CAD2,
4/19/2016,2016,2/3 BREAK,A,N,N,R,M,850,BROOD,N,MT,3DD003BE8CB18,Y 78
4/26/2016,2016,HAGGIES,A,BWT,Y,R,M,810,MARK RELEASE,N,,3DD003BE8CAF0,
4/26/2016,2016,HAGGIES,A,N,N,R,M,690,RELEASE,Y,,3DD003BE8CB1E,
4/26/2016,2016,HAGGIES,A,N,Y,R,F,795,RELEASE,N,CT,569ABAD,
4/26/2016,2016,ERIKS,R,N,N,R,M,490,RELEASE,Y,,3DD003BE8CB09,
4/26/2016,2016,2/3 BREAK,A,N,N,R,M,910,BROOD,N,,3DD003BE8CACE,Y 79
4/26/2016,2016,ERIKS,R,N,N,R,M,860,BROOD,N,,3DD003BE8CAC9,Y 80
5/3/2016,2016,HAGGIES,A,BWT,Y,R,M,620,MARK RELEASE,N,,3DD003BE8CB24,
5/3/2016,2016,HAGGIES,A,N,Y,R,M,895,RELEASE,N,CT,569AAE7,
5/3/2016,2016,HAGGIES,A,BWT,Y,R,M,620,MARK RELEASE,N,,3DD003BE8CB13,
5/3/2016,2016,HAGGIES,A,BWT,N,R,M,575,MARK RELEASE,N,,3DD003BE8CAFB,
5/3/2016,2016,2/3 BREAK,A,BWT,Y,R,M,585,MARK RELEASE,N,,3DD003BE8CAD7,
5/3/2016,2016,HAGGIES,R,N,N,R,M,475,MARK RELEASE,N,,3DD003BE8CB19,
5/3/2016,2016,HAGGIES,A,N,N,R,M,830,BROOD,N,,3DD003BE8CAD8,OR 50
5/10/2016,2016,HAGGIES,A,BWT,Y,R,M,,RELEASE,N,,BE8D697,
5/10/2016,2016,HAGGIES,A,BWT,Y,R,M,,RELEASE,N,,BE8D29D,OR 184
5/10/2016,2016,HAGGIES,A,N,N,R,M,640,BROOD,N,,3DD003BE8CAE1,Y 97
5/10/2016,2016,HAGGIES,A,N,N,R,M,690,BROOD,N,,3DD003BE8CAFD,Y 96
